11 Gift of the Gemling Queen, each delve ring, 250 quant t17 100 deli possessed kosis, 12 large cluster 12 passive rare, dissolution of the flesh, 9 deafening sorrow, 20 maps 1000 strength, Full stack The Master Artisan, unnatural instinct, every talisman anointed, 20 Gemcutter's Prism, 20 fragmented incubator, kill kitava, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, plus 4 hands of the high templar, 10 fenumal scorpion, 20 Farric Chieftain, forbidden taste, 20 maps main skill tagged channel, Double corrupted mageblood, ailment faster delve rare, bottled faith, ralakesh , hyrri's truth, 90 quant feared
beltimber blade, Full stack The Explorer, 20 Saqawine Cobra, 33 The Arena Champion, 1 each relic base type, 250 quant t17 100 deli possessed omniphobia, oriath's end, 1000 Orb of Transmutation, Full stack The Warden, t17 -20 all res 15 ele pen 2 phys as extra mods full map effect less than 50 remain and map clear, 20 maps with attack main skill, 20 medium cluster 4 or 5 passive rare, kill kitava, 20 tainted chrome, synth same implicit but worse, clear hall of the grandmasters, rathpith globe, 40 singular incubator, 20 ancient orbs, 3 the oppressor, 5 every transfigured colour, 6 tainted fusing, woke exceptional, build around a unique, upgrade a harbinger unique
20 maps 10k energy shield, 100 engineering orbs, 10 craicic vassal, the tides of time, 10 serrated fossil, piece of the arcane, 21 The Survivalist, replica baited breath, Full stack The Body, 250 quant t17 full spec harbinger atlas scarabs: regency nemeses 3 harbinger, sunblast, Full stack The Surgeon, kill kitava, wave 15 simulacrum, every talisman anointed, 4 orb of conflict, 4.5 hour a10 scion, 20 maps with mine main skill, Full stack The Tower, 12 pragmatism, 50 regal orb, Black Morrigan, 20 essence constrictor, the overflowing chalice, hyrri's ire
10 tailoring orbs, 13 The Skeleton, 4 unique relics, haemophilia, 20 maps main skill tagged retaliation, Choking Guilt, 200 tainted whetstone, ulaman's gaze, doppelganger guise, kintsugi, 3 large cluster jewel 3 notable, 250 deli splinters 1 map, kill kitava, Full stack Her Mask, clear hall of the grandmasters, 10 megalomaniac, Full stack The Web, 20 maps with self cast main skill, 30 rare with essence mod, 10 deception contract, 50 tainted mythic orb, 4 hour a10 any ranger, 1000 alterations, 10 pristine fossil, Full stack The Warden
i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, 250 deli splinters 1 map, 50k rogue markers, 2 curtain call, Full stack Dark Temptation, frostbreath, 20 maps main skill tagged strike, sandstorm visage, 17 Last Hope, massive thread of hope, every talisman anointed, cloak of flame, kill kitava, 100 abyss jewels, 5 militant faith, 10 simulacrum, 10 craicic vassal, 20 sacred orbs, 10 megalomaniac, 20 maps CI, 4 hour a10 any ranger, berek's grip, unrelenting emblem, 20 Gemcutter's Prism, unnatural instinct
first letter of 3 notable cluster spells word in pob order, unrelenting emblem, 5 transfigured gems that start with B, 50 quant feared with all release, Assassin's Gift, doppelganger guise, 20 maps with perma minions main skill, 20 Farric Ape, 20 maps with phys main skill, Full stack The Body, 9 deafening anger, ondar's clasp, kill kitava, Full stack Her Mask, defiance of destiny, 10 simulacrum, queen of the forest, 80% deli t17 lt 50 remain and boss, piece of storms, echoes of creation, 40 unmakings, 20 gilded fossil, 10 corrupted 6 links, pilfering scarab 1000 cards one boss, 20 Farric Ursa
Full stack The Tireless Extractor, firesong, Full stack The Web, chaos pen chaos multi paradoxica, mark of the shaper and mark of the elder, 10 perception contract, 600 delve, 4.5 hour a10 any marauder, 10 Craicic Shield Crab, 250 quant t17 80 deli unique bosses shrined kill ghorr, 10 simulacrum, abyss jewel i84 exclusive mod, kill kitava, 200 delve, kill kitava with saboteur, mageblood, 20 maps with attack main skill, ming's heart, the tides of time, 5 glorious vanity, Full stack The Porcupine, 20 tainted chrome, every talisman anointed, 11 The Rite of Elements, upgrade a harbinger unique
bones of ullr, non catarina syndicate unique, ichimonji, 20 maps main skill tagged movement or travel or blink, 21 Thirst for Knowledge, Farrul First of the Plains, echoes of creation, 100 abyss jewels, crest of desire, 4 ghost 80 deli hydra, 9 deafening greed, 9 deafening hatred, kill kitava, 200 astragali, 5 every transfigured colour, 250 quant t17 80 deli unique bosses possessed kill two harvest bosses, The Astromancer, 20 essence enslaver, ashes of the stars, minions are aggressive delve rare, Full stack The Demoness, Full stack The Dragon, 20 maps 7000 mana, Exalted Orb, 20 small cluster jewel rare
1 sacred crystallized lifeforce, 25 The Army of Blood, 1000 Portal Scroll, triple nonnegative leadership's price, 250 quant t17 blightheart blooming invigoration full atlas except easier nodes, 2 kalisa's grace, 2 Saqawine Vulture, Double corrupted mageblood, 20 maps main skill tagged retaliation, doppelganger guise, 250 quant t17 abyss profound depth full atlas, rakiata's dance, kill kitava, 5 Singular Scouting Report, 20 maps main skill tagged strike, afk blight ravaged no towers or button pressing, 1 each rare cluster jewel size, rare with glimpse of chaos implicit, piece of focus, 50 noxious catalyst, 10 counter thaumatergy contract, unlock all rogues, impossible escape, 3 forbidden shako, 18 deafening torment
plus 4 hands of the high templar, 6 rings 2 each min charge unveiled, 4 ghost 80 deli hydra, 1 of each temple resistance, Full stack The Wolf, 10 forbidden tome, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, purity of fire sublime, rakiata's dance, 20 maps main skill tagged projectile, minions are aggressive delve rare, ashes of the stars, kill kitava, 11 The Betrayal, 20 maps main skill tagged aoe, Full stack The Rabid Rhoa, 20 craicic squid, rise of the phoenix, 20 Farric Ursa, 20 omen of refreshment, Full stack The Metalsmith's Gift, every t1 ritual base, 4 hour a10 any witch, the squire, Full stack The Gemcutter
4.5 hour a10 like leaguestart, 20 maps with phys main skill, 100 abyss jewels, t16 rare monster with 8 essence 4 ghost 80 deli, the tides of time, 13 Jack in the Box, 16 The Trial, marohi erqi, thief's torment, Full stack Prosperity, 33 Imperial Legacy, delve curse on hit ring, kill kitava, 3x t1 ele or 3x t1 phys axe 6 link t1 attack speed t1 crit chance double damage chance corrupted with fortify and inspiration, unnatural instinct, Full stack The Endurance, 100x onyx amulet, 20 maps with perma minions main skill, 250 quant t17 80 deli unique bosses shrined and possessed domination scarab of terrors 9 shrines 0 remain, 12 large cluster 12 passive rare, 30 alva temples, deerstalker, 10 simulacrum, impossible escape, ailment faster delve rare
20 essence eradicator, mirror shard, divine orb a dragonfang you dropped, ghostwrithe, i83 omnitect at most 2 items equipped, 20 intrinsic catalyst, kill kitava with scion, piece of focus, Full stack Boundless Realms, 1 fracturing orbs, 33 The Arena Champion, forbidden flame, kill kitava, 12 large cluster 12 passive rare, plus 4 hands of the high templar, 100 abyss jewels, 20 tempering orbs, doedre's tenure, 40 primal incubator, crown of eyes, original sin relic, 30 The Sun, 10 Vaal Scouting Report, 20 maps with cold main skill, 250 quant t17 unique boss shrined and 4 ghosts
4 hour a10 any templar, 4 sac frag rare 5+ mod indigo+ 9 anoint blight ravaged, 12 pragmatism, dead reckoning, 3x t1 ele or 3x t1 phys sword 6 link t1 attack speed t1 crit chance double damage chance implicits crits ignore ele res and corrupted with fortify or resolute technique, 2 curse impresence or soul ascension or eternity shroud, profane proxy, Full stack Cartographer's Delight, brightbeak, kill kitava with elementalist, grand spectrum, sandstorm visage, kill kitava, 20 craicic squid, 20 maps 85 max res, 20 Struck by Lightning, 17 Volatile Power, 11 Emperor of Purity, witchfire brew, 1 of each temple resistance, 10k of each harvest juice, 250 quant t17 80 deli unique bosses shrined kill esh, 250 quant t17 80 deli unique bosses shrined kill chayula, 20 reflective oils, 200 tainted armourer's
Full stack Emperor's Luck, 10 harbinger orbs, ashes of the stars, 20 maps with 50 mana reservation efficiency, piece of directions, 40 Orb of Unmaking, ryslatha's coil, non massive thread of hope, 20 maps main skill tagged arcane, Full stack The Battle Born, Full stack Lost Worlds, 4 grasping mail, kill kitava, 10 dense fossil, 20 omen of refreshment, 250 quant t17 expedition archaeology verisium 2 rune finding full atlas except easy big boom put bomb in middle, forbidden flesh, Full stack The Rabid Rhoa, plus 2 endurance rare boots, 3 forbidden shako, i83 catarina stand in green degen squares when they become available until end of fight, 90 quant feared, 5 heist bases jewellery, 50k rogue markers, 12 large cluster 12 passive rare
plus 4 hands of the high templar, 250 quant t17 all exile nodes all torment nodes scarabs: possession giants partnership double anarachy 0 monsters remain, 5 eldritch annul, 10 exalts, death's oath, 20 maps 0% crit chance on main skill, Full stack Azure Rage, 10 perception contract, wyrmsign, ryslatha's coil, 16 The Battle Born, 10k of each harvest juice, kill kitava, Full stack The Watcher, 90 quant feared, 5 militant faith, additional merchant choice relic, 20 maps main skill tagged projectile, Black Morrigan, 4 unique relics, 50 tainted mythic orb, 10 megalomaniac, 5 carto scarab of risk unid t17 full map effect atlas, rebuke of the vaal, 3x t1 ele or 3x t1 phys sword 6 link t1 attack speed t1 crit chance double damage chance implicits crits ignore ele res and corrupted with fortify or resolute technique
unlock all rogues, 2 mindspiral, 5 elegant hubris, valyrium, echoes of creation, 20 maps with attack main skill, 1 any blueprint exclusive non replica unique, 200 tainted whetstone, ralakesh , 10 The Easy Stroll, 4 hour a10 any witch, goldrim, kill kitava, 50 quant feared with all release, 64 large cluster 8 passive rare, mark of the shaper and mark of the elder, tinkerskin, 10 otherwordly incubator, 40 primal incubator, The Fiend, 20 maps with temp minions main skill, 5 legion 5 ways, 10 simulacrum, 250 quant t17 80 deli unique bosses possessed kill two harvest bosses, might of the meek
4 ghost 80 deli phoenix, 5 flawless breachstone, stormshroud, 20 maps 1000 int, 40 primal incubator, Full stack The Metalsmith's Gift, 13 The Mountain, 20 Glassblower's Bauble, additional room revealed relic, Full stack Acclimatisation, 5 elritch exalt, Full stack The Doppelganger, kill kitava, doppelganger guise, plus 4 hands of the high templar, 1 of each colour legion jewel, 10 deception contract, 20 maps 10k energy shield, soulthirst, 250 quant t17 80 deli unique bosses possessed full rogue exile atlas scarabs: titanic 2 treasures 2 legend, emperor's majesty, 100% deli 10 mod t16 less than 50 remain and map complete, 20 Farric Ape, fractured delve mod, 30 alva temples
Full stack Dark Temptation, mark of the shaper and mark of the elder, additional merchant choice relic, kingmaker aoe corrupt, 5 tangled fossil, 40 primal incubator, 10 catarina weapon veiled, 50 replica uniques, 200 yellow beasts, 4 hour a10 any witch, 10 annulments, blunderbore, kill kitava, Full stack The Fool, 20 medium cluster 4 or 5 passive rare, massive thread of hope, 300 quant t17 full spec ultimatum completed, Full stack The Carrion Crow, piece of directions, 20 maps main skill impending doom or prismatic burst or flamewood or frozen legion, dead reckoning, the restless ward, Fenumus First of the Night, kill kitava with saboteur, maven witness uber elder
bino's kitchen knife, piece of time, 3x watcher's eye, 1 each relic base type, 200 astragali, ceinture of benevolence, 50 tainted mythic orb, 8 mod t16, 250 quant t17 80 deli unique bosses possessed kill two harvest bosses, 50 regal orb, unnatural instinct, 20 maps 1000 int, kill kitava, ashes of the stars, piece of focus, ghost feared valdo, Angler's plait, afk blight ravaged no towers or button pressing, 10 fenumal scorpion, one every curse on hit ring, 10 Vaal Scouting Report, witchfire brew, Black Morrigan, 20 maps with triggered main skill, 134 Emperor's Luck
100 The Scholar, the fourth vow, 10 Regal Orb, 10k of each harvest juice, plus 4 hands of the high templar, 20 Farric Ape, 5 militant faith, 22 Gemcutter's Promise, intuitive leap, victario's influence, 20 maps 1h attack main skill, echoes of creation, kill kitava, 10 corrupted 6 links, 20 omen of refreshment, 250 quant t17 2 scarab of wisps and natural wildwood 3k wisps less than 50 remain and map clear, 20 essence constrictor, deerstalker, 21 The Survivalist, 20 maps 70% crit chance on main skill, rakiata's dance double corrupted, 4 ghost 80 deli phoenix, 30 rare with essence mod, upgrade a harbinger unique, Full stack The Twins
3x t1 ele warstaff t1 attack speed t1 crit chance double damage chance corrupted with 2x t1 ele, 10 corrupted 6 links, Full stack Dark Temptation, Full stack The Wrath, 10 scorched fossil, Farrul First of the Plains, 250 quant t17 all exile nodes all torment nodes scarabs: possession giants partnership double anarachy 0 monsters remain, 20 offering to the goddess, massive thread of hope, 6 tainted fusing, 3 large cluster jewel 3 notable, 200 rolled currency t17 lt 50 remain, kill kitava, 13 The Wolf, 10 heist bases any, 250 quant t17 80 deli unique bosses shrined kill beidat, paradoxica, 1 each relic base type, each delve ring, 20 maps main skill impending doom or prismatic burst or flamewood or frozen legion, Full stack Destined to Crumble, the squire, 20 maps main skill tagged chaining, Full stack The Harvester, 5 transfigured gems that start with C
tainted exalted orb, wave 15 simulacrum, plus 4 hands of the high templar, 1 delirium essence, iron commander, 20 Saqawine Blood Viper, 10 simulacrum, 10k of each harvest juice, 10 fenumal scorpion, 9 deafening misery, Full stack The Visionary, 600 delve, kill kitava, 5 heist bases jewellery, 5 transfigured gems that start with A, 250 quant t17 80 deli unique bosses shrined kill esh, Full stack The Sun, 20 maps 70% crit chance on main skill, uul-netol's vow, 250 quant t17 80 deli unique bosses shrined kill beidat, 100 Orb of Chance, forbidden flame, 10 deception contract, 20 maps main skill tagged bow, synth same implicit but worse
Full stack The Wolf, surgebinders, ventor's gamble, heatshiver, 20 maps 1000 dex, mark of the shaper and mark of the elder, 4 orb of conflict, 10 split personality, the hateful accuser, 20 Farric Chieftain, 50k rogue markers, 20 tainted chrome, kill kitava, 10 The Oath, each delve ring, 1 passive voices, delve curse on hit ring, 250 quant t17 100 deli possessed omniphobia, 20 maps with dot main skill, Fenumus First of the Night, Black Morrigan, 250 quant t17 100 deli possessed kosis, 20 diviner's incubator, 250 quant t17 80 deli unique bosses shrined kill uul netol, Full stack Rain of Chaos
death rush, berek's respite, 10 otherwordly incubator, 5 tul breachstone, 333 quant t17, orb of dominance, hall of the grandmasters, surgebinders, minions are aggressive delve rare, imbalanced guard or unwavering stance impossible escape, forbidden flesh, 5 flawless breachstone, kill kitava, praxis, 20 tainted chrome, lab unique, 3 gold oils, Full stack The Calling, 10 gearsets of chaos recipe, 250 quant t17 expedition archaeology verisium 2 rune finding full atlas except easy big boom put bomb in middle, 20 maps main skill tagged retaliation, 200 rolled currency t17 lt 50 remain, 100 delirium orbs, 20 maps 50k evasion, the tides of time
piece of brutality, intuitive leap, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, 20 maps with phys main skill, 20 maps 1000 dex, 2 abyss jewel ms if not damaged recently, echoes of creation, 5 unique maps, Assassin's Gift, karui ward, balance of terror, harbinger scroll, kill kitava, 600 delve, 20 Farric Ape, every delirium unique jewel, winterweave, ondar's clasp, abyssus, 5 temple mod rare chests, 50 tainted mythic orb, impossible escape, 1 flawless esh, 5 way 4 unrelenting 3 layers of rewards, 10 deception contract
20 maps with cold main skill, 1 each relic base type, kill farrul with only farrul uniques equipped, Mirror, 27 deafening fear, the squire, 20 maps spellslinger main skill, 20 aetheric fossil, legacy of fury, bloodseeker, 200 delve, Saqawal First of the Sky, kill kitava, 10 darkness enthroned, 1 delirium essence, 1 each rare cluster jewel size, piece of directions, 11 Emperor of Purity, 4.5 hour a10 any marauder, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, dissolution of the flesh, alpha's howl, Full stack Jack in the Box, piece of time, nebuloch
4 grasping mail, 20 maps 70% crit chance on main skill, piece of directions, 20 fertile catalyst, death rush, Full stack The Demoness, 20 maps 1000 int, 5 transfigured gems that start with B, dyadian dawn, 250 quant t17 all beast nodes all essence nodes kill 4 red beasts 4+ essenced, mother's embrace, Full stack The Wretched, kill kitava, 100 engineering orbs, 10 fenumal scorpion, ancestral vision, 1 each relic base type, 20 vaal orbs, 50 quant feared with all release, pilfering scarab 1000 cards one boss, 30 alva temples, 5 flawless breachstone, echoes of creation, 66 The Carrion Crow, corrupted bino's no spell damage or ele damage
mark of submission, 1 each relic base type, 20 maps with trap main skill, kill kitava with inquisitor, 33 The Journalist, 4 ghost 80 deli phoenix, Full stack Time-Lost Relic, Full stack Her Mask, singularity, 100 engineering orbs, 20 medium cluster 4 or 5 passive rare, 2 curse impresence or soul ascension or eternity shroud, kill kitava, pyroshock clasp, double corrupted lioneye's glare, 4 hour a10 any duelist, 1 of each colour legion jewel, 5 heist bases jewellery, 80% deli t17 lt 50 remain and boss, 3 gold oils, balance of terror, 17 The Standoff, 5 temple mod rare hats, 200 tainted armourer's, kingmaker
4 hour a10 any witch, firesong, 30 alva temples, upgrade a harbinger unique, 3 white wind, purity of fire sublime, mark of the shaper and mark of the elder, kill saqawal only wearing saqawal uniques, 28 Assassin's Favour, 20 maps 85 max res, 1000 clear oil, Full stack The Gambler, kill kitava, the overflowing chalice, 20 turbulent catalyst, 10 fenumal scorpion, 10 craicic vassal, 100 wings, 20 maps main skill tagged vaal, 5 carto scarab of risk unid t17 full map effect atlas, Comprehensive Scouting Report, the tides of time, 10 gearsets of chaos recipe, matching damage and multi cane of kulemak, the taming
Fenumus First of the Night, 4 orb of conflict, imbalanced guard or unwavering stance impossible escape, 60 unique rings, 20 maps with phys main skill, equip one rogue with job speed in every slot, 20 essence constrictor, 5 transfigured gems that start with B, torchoak step, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, Full stack The Metalsmith's Gift, mageblood, kill kitava, 33 The Arena Champion, 5 chests 2.5k evasion + armour or es, 10 simulacrum, Full stack The Tireless Extractor, 100% deli 10 mod t16 less than 50 remain and map complete, 10 deception contract, 4 unique relics, 20 maps main skill tagged channel, piece of directions, 3 large cluster jewel 3 notable, lab unique, soul mantle
tanu ahi, 20 reflective oils, 2 mindspiral, Full stack The Journalist, 1 sanctified fossil, 20 sacred orbs, 13 Shard of Fate, 30 scouting reports, 300 quant t17 full spec ultimatum completed, Full stack Gemcutter's Promise, omen of fortune, impossible escape, kill kitava, the ivory tower, 10 counter thaumatergy contract, 5 way 4 unrelenting 3 layers of rewards, 20 maps main skill tagged bow, sandstorm visage, 20 priceless contract, 250 quant t17 80 deli unique bosses shrined kill beidat, 13 Acclimatisation, bottled faith, 20 maps cast on crit main skill, 27 deafening fear, ailment faster delve rare
piece of brutality, 350 Jeweller's Orb, 7 ubers, 20 Explorer's Scouting Report, 40 Orb of Unmaking, the iron fortress, 50 regal orb, 12 pragmatism, 40 primal incubator, 20 ancient orbs, 20 maps with triggered main skill, 2 the wasp nest, kill kitava, 90 quant feared, woke exceptional, 1 each relic base type, kill kitava with warden, 40 exotic coinage, 27 deafening fear, 250 quant t17 100 deli possessed omniphobia, Full stack Glimmer of Hope, 20 Farric Ursa, 13 The Surveyor, plus 4 hands of the high templar, bino's kitchen knife
9 same corrupted essence, forbidden flame, piece of focus, rathpith globe, non corrupted unique jewel, 20 priceless contract, 1 fracturing orbs, every delirium unique jewel, 5 temple mod rare shoes, 10 The Oath, pillars of arun, triple nonnegative leadership's price, kill kitava, snakebite, 250 quant t17 blightheart blooming invigoration full atlas except easier nodes, vixen's entrapment, 250 quant t17 80 deli unique bosses possessed full rogue exile atlas scarabs: titanic 2 treasures 2 legend, tinkerskin, squire corrupted with plus any socketed gems, 40 primal incubator, 20 maps main skill tagged channel, 20 maps with 50 mana reservation efficiency, 5 way 4 unrelenting 3 layers of rewards, crest of desire, 4 orb of conflict
10 corrupted 6 links, 20 maps 10k energy shield, every attribute amulet anointed, kaom's spirit, 20 maps spellslinger main skill, bino's kitchen knife, 11 The Poet, mark of the shaper and mark of the elder, i83 omnitect at most 2 items equipped, 20 tempering orbs, goldrim, Full stack The Flora's Gift, kill kitava, conquest lamellar 80% sacred 29+ qual t1 flat t1 inc t1 inc + stun or global defences t1 suppress t1 pdr t1 chaos 90% divine suffixes perfect divine implicits 28% grace effect 19% aura effect, 20 priceless contract, 1 Craicic Chimeral, aegis aurora, 250 quant t17 80 deli unique bosses possessed full rogue exile atlas scarabs: titanic 2 treasures 2 legend, 250 quant t17 blightheart blooming invigoration full atlas except easier nodes, 10 powerful resonator, Full stack Boundless Realms, 10 split personality, elemental penetration support, massive thread of hope, 10 counter thaumatergy contract
Full stack Dark Temptation, ashes of the stars, 20 maps main skill tagged aoe, 3 gold oils, eye of malice, kill kitava with warden, original sin relic, 28 Dark Temptation, ryslatha's coil, Saqawal First of the Sky, 40 gem incubator, ghostwrithe, kill kitava, Full stack Hunter's Resolve, gloomfang, kill fenumus only wearing fenumus uniques, orb of dominance, 50 replica uniques, 1 of each colour legion jewel, 18 deafening anguish, 4 unique relics, triple wisp t17 boss, 20 craicic squid, 64 large cluster 8 passive rare, 250 quant t17 80 deli unique bosses possessed full rogue exile atlas scarabs: titanic 2 treasures 2 legend
80 Loyalty, 100x onyx amulet, 13 The Body, alpha's howl, 6 tainted fusing, kintsugi, 250 quant t17 80 deli unique bosses shrined and possessed domination scarab of terrors 9 shrines 0 remain, 4 hour a10 any ranger, ancestral vision, Full stack The Warden, 10 perception contract, echoes of creation, kill kitava, The Astromancer, 50 replica uniques, 5 transfigured gems that start with F, 13 The Mountain, 20 priceless contract, 4 ghost 80 deli phoenix, kill kitava with elementalist, 8 mod t16, Black Morrigan, Full stack The Fool, 20 maps main skill tagged bow, forbidden flame
megalomaniac, piece of directions, 10 Orb of Horizons, 30 alva temples, Full stack The Cache, impossible escape, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, 1 prime chaotic resonator, 20 maps main skill tagged curse, omen of fortune, 20 sacred orbs, 10 annulments, kill kitava, 4 hour a10 any templar, valyrium, non massive thread of hope, 20 maps with totem main skill, 5 way 4 unrelenting 3 layers of rewards, every talisman anointed, every delirium unique jewel, 11 The Ruthless Ceinture, mark of the shaper and mark of the elder, 10 tailoring orbs, 20 tainted catalyst, 20 tainted chrome
